"id","alias","valid_from_date","valid_to_date","nameset_id","hierarchy_name_id","admin_level","alias_dot_name","last_upddate","last_userid","message","parent_id"
NA,"tombouctou",NA,NA,9,313204,1,"africa:mai:tombouctou",NA,"kmccarthy",NA,290913
NA,"moka",NA,NA,9,313631,1,"africa:mas:moka",NA,"kmccarthy",NA,288762
NA,"pamplemousses",NA,NA,9,313633,1,"africa:mas:pamplemousses",NA,"kmccarthy",NA,288761
NA,"port louis",NA,NA,9,313635,1,"africa:mas:port louis",NA,"kmccarthy",NA,290573
NA,"savanne",NA,NA,9,313636,1,"africa:mas:savanne",NA,"kmccarthy",NA,291056
NA,"black river",NA,NA,9,313628,1,"africa:mas:black river",NA,"kmccarthy",NA,291049
NA,"flacq",NA,NA,9,313629,1,"africa:mas:flacq",NA,"kmccarthy",NA,291052
NA,"grand port",NA,NA,9,313630,1,"africa:mas:grand port",NA,"kmccarthy",NA,291057
NA,"manica",NA,NA,9,316612,1,"africa:moz:manica",NA,"kmccarthy",NA,288795
NA,"bauchi",NA,NA,9,316870,1,"africa:nie:bauchi",NA,"kmccarthy",NA,288983
NA,"ebonyi",NA,NA,9,316986,1,"africa:nie:ebonyi",NA,"kmccarthy",NA,289009
NA,"gombe",NA,NA,9,317046,1,"africa:nie:gombe",NA,"kmccarthy",NA,289844
NA,"katsina",NA,NA,9,317176,1,"africa:nie:katsina",NA,"kmccarthy",NA,288997
NA,"kogi",NA,NA,9,317240,1,"africa:nie:kogi",NA,"kmccarthy",NA,288979
NA,"nasarawa",NA,NA,9,317285,1,"africa:nie:nasarawa",NA,"kmccarthy",NA,288975
NA,"agadez",NA,NA,9,316735,1,"africa:nig:agadez",NA,"kmccarthy",NA,288958
NA,"diffa",NA,NA,9,316741,1,"africa:nig:diffa",NA,"kmccarthy",NA,288959
NA,"dosso",NA,NA,9,316743,1,"africa:nig:dosso",NA,"kmccarthy",NA,288961
NA,"tahoua",NA,NA,9,316752,1,"africa:nig:tahoua",NA,"kmccarthy",NA,288962
NA,"zinder",NA,NA,9,316770,1,"africa:nig:zinder",NA,"kmccarthy",NA,289163
NA,"diourbel",NA,NA,9,319256,1,"africa:sen:diourbel",NA,"kmccarthy",NA,290567
NA,"fatick",NA,NA,9,319261,1,"africa:sen:fatick",NA,"kmccarthy",NA,290448
NA,"kaolack",NA,NA,9,319267,1,"africa:sen:kaolack",NA,"kmccarthy",NA,290570
NA,"tambacounda",NA,NA,9,319283,1,"africa:sen:tambacounda",NA,"kmccarthy",NA,289796
NA,"kolda",NA,NA,9,291393,1,"africa:sen:kolda",NA,"kmccarthy",NA,290568
NA,"louga",NA,NA,9,319270,1,"africa:sen:louga",NA,"kmccarthy",NA,289795
NA,"thies",NA,NA,9,319293,1,"africa:sen:thies",NA,"kmccarthy",NA,289764
NA,"ziguinchor",NA,NA,9,319297,1,"africa:sen:ziguinchor",NA,"kmccarthy",NA,290447
NA,"hhohho",NA,NA,9,319858,1,"africa:swz:hhohho",NA,"kmccarthy",NA,290707
NA,"lubombo",NA,NA,9,319859,1,"africa:swz:lubombo",NA,"kmccarthy",NA,290709
NA,"manzini",NA,NA,9,319860,1,"africa:swz:manzini",NA,"kmccarthy",NA,290713
NA,"shiselweni",NA,NA,9,319861,1,"africa:swz:shiselweni",NA,"kmccarthy",NA,290706
NA,"arusha",NA,NA,9,321265,1,"africa:tan:arusha",NA,"kmccarthy",NA,290812
NA,"iringa",NA,NA,9,321279,1,"africa:tan:iringa",NA,"kmccarthy",NA,290767
NA,"kigoma",NA,NA,9,321301,1,"africa:tan:kigoma",NA,"kmccarthy",NA,288845
NA,"lindi",NA,NA,9,321176,1,"africa:tan:lindi",NA,"kmccarthy",NA,290813
NA,"mwanza",NA,NA,9,321324,1,"africa:tan:mwanza",NA,"kmccarthy",NA,290776
NA,"morogoro",NA,NA,9,321198,1,"africa:tan:morogoro",NA,"kmccarthy",NA,290785
NA,"singida",NA,NA,9,321245,1,"africa:tan:singida",NA,"kmccarthy",NA,290745
NA,"south pemba",NA,NA,9,321217,1,"africa:tan:south pemba",NA,"kmccarthy",NA,290761
NA,"tanga",NA,NA,9,321261,1,"africa:tan:tanga",NA,"kmccarthy",NA,290787
NA,"adjumani",NA,NA,9,321345,1,"africa:uga:adjumani",NA,"kmccarthy",NA,291093
NA,"apac",NA,NA,9,321347,1,"africa:uga:apac",NA,"kmccarthy",NA,291090
NA,"arua",NA,NA,9,321373,1,"africa:uga:arua",NA,"kmccarthy",NA,289000
NA,"bugiri",NA,NA,9,321348,1,"africa:uga:bugiri",NA,"kmccarthy",NA,291055
NA,"bundibugyo",NA,NA,9,321352,1,"africa:uga:bundibugyo",NA,"kmccarthy",NA,289027
NA,"bushenyi",NA,NA,9,321351,1,"africa:uga:bushenyi",NA,"kmccarthy",NA,290063
NA,"gulu",NA,NA,9,321367,1,"africa:uga:gulu",NA,"kmccarthy",NA,288927
NA,"hoima",NA,NA,9,321353,1,"africa:uga:hoima",NA,"kmccarthy",NA,289027
NA,"iganga",NA,NA,9,321375,1,"africa:uga:iganga",NA,"kmccarthy",NA,288921
NA,"jinja",NA,NA,9,321354,1,"africa:uga:jinja",NA,"kmccarthy",NA,289392
NA,"kampala",NA,NA,9,321360,1,"africa:uga:kampala",NA,"kmccarthy",NA,289001
NA,"kamuli",NA,NA,9,321361,1,"africa:uga:kamuli",NA,"kmccarthy",NA,289393
NA,"kapchorwa",NA,NA,9,321363,1,"africa:uga:kapchorwa",NA,"kmccarthy",NA,289327
NA,"kasese",NA,NA,9,321364,1,"africa:uga:kasese",NA,"kmccarthy",NA,289096
NA,"katakwi",NA,NA,9,321346,1,"africa:uga:katakwi",NA,"kmccarthy",NA,291087
